Work Item ID,Issue Type,Parent ID,Epic Link,Summary,Description,Owner,Channel,Start Date,Due Date
T001,Task,,MCM-992,Content - Blog (Cerkl.com) - How to Claim Your Strategic Seat in Internal Communications (Before Someone Else Does),"Topic: Practitioner-facing thought-leadership for IC managers/directors feeling squeezed between AI-displaces-tactical-work and not-yet-at-the-leadership-table. Empowering, not preachy. Lead post of a 3-post Cerkular sequence.
Slug: claim-strategic-seat-internal-communications
Brief link: ../seo/briefs/claim-strategic-seat-internal-communications.md
Primary keyword: strategic role of internal communications
Secondary keywords: IC seat at the table, internal communications strategic role, elevate internal communications, IC career growth, internal communications leadership
Webflow CMS properties:
  - Primary Category: internal-communication-strategy
  - Primary Solution: Educational
  - All Categories:
Draft (Google Doc): https://docs.google.com/document/d/17oZGkXmJg1Yk0m7NXQeMUgNl3FHwr6qtfOgWeetEtzY/edit",712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-06-09,2026-06-15
S001,Subtask,T001,,Blog – Copy,Write the blog post copy from the brief / outline.,,Blog Posts,2026-06-09,2026-06-10
S002,Subtask,T001,,Blog – Image Creation,Create or source images per the post outline.,,Blog Posts,2026-06-10,2026-06-11
S003,Subtask,T001,,Blog – Approval,Review draft + edit pass; sign off for publishing.,,Blog Posts,2026-06-11,2026-06-12
S004,Subtask,T001,,Blog – Implementation / Publishing,Stage in Webflow with CMS properties; schedule publish.,,Blog Posts,2026-06-12,2026-06-15
T002,Task,,MCM-992,Email Marketing - Email - Webinar Promo #1: Rachel Folz Insights/Measurement (6/25),"Topic: Promote Rachel Folz Insights / Measurement webinar (Cerkl-internal, 2026-06-25, 12:00 PM EDT) to the Cerkular subscriber list as Email Blast #1 of a 3-email sequence (Blast #2 lands Mon 6/22; final reminder Wed 6/24).
Audience: Cerkular subscribers + Foundations ICP (HR generalists / ops leads at 50–500 person companies). Filter out current Foundations+ / Omni AI customers (they get a separate path).
CTA: Free webinar registration (no card, no trial).
Theme context: Webinar anchors on the May 2026 Insights Update redesign — frame for ICs who currently send blind out of Outlook/Gmail and want a measurement layer they can defend.
Brief link: ../channels/webinar/rachel-folz-june-2026/rachel-folz.md
Project plan: ../channels/webinar/rachel-folz-june-2026/rachel-folz-project-plan.md (Phase 3 Email Blast #1)
Draft: [DRIVE_URL_PLACEHOLDER]",62bb263d268cac6e31c40941,Marketing Emails,2026-06-10,2026-06-15
S005,Subtask,T002,,Email – Copy,Draft the promo email copy from the webinar brief.,,Marketing Emails,2026-06-10,2026-06-11
S006,Subtask,T002,,Email – Audience Segmentation,Build the recipient list in HubSpot; filter out current paid customers.,,Marketing Emails,2026-06-11,2026-06-12
S007,Subtask,T002,,Email – Review,Review copy + segment; sign off for send.,,Marketing Emails,2026-06-12,2026-06-12
S008,Subtask,T002,,Email – Schedule Send,Schedule the send in HubSpot; confirm delivery.,,Marketing Emails,2026-06-15,2026-06-15
T003,Task,,MCM-992,Content - Blog (ICP) - Beyond Pride Month: building inclusive comms structures that last,"Topic: Inclusion comms as a year-round IC discipline beyond Pride Month — practical framework for building inclusive comms structures that last past visibility moments.
Slug: beyond-pride-month-building-inclusive-comms-structures-that
Note: ICPro has no brief queue — slug synthesized from the deliverable title at scaffold time
Draft (Google Doc): https://docs.google.com/document/d/1ZeflgcqJDUtoUUh4vGOchJvA8NZNZKj9uBREnxpQtAM/edit",712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-06-09,2026-06-16
S009,Subtask,T003,,Blog – Copy,Write the blog post copy from the outline.,,Blog Posts,2026-06-09,2026-06-10
S010,Subtask,T003,,Blog – Image Creation,Create or source images per the post outline.,,Blog Posts,2026-06-10,2026-06-11
S011,Subtask,T003,,Blog – Approval,Review draft + edit pass; sign off for publishing.,,Blog Posts,2026-06-12,2026-06-15
S012,Subtask,T003,,Blog – Implementation / Publishing,Stage in Wix with CMS properties; schedule publish.,,Blog Posts,2026-06-15,2026-06-16
T004,Task,,MCM-992,Social Media - LinkedIn - Theme post: Shadow AI Is a Content Problem (Not a Governance Problem) — pre-tease for 6/17 blog,"Topic: Pre-tease (T-1) for Travis-bylined Shadow AI POV publishing 2026-06-17 on cerkl.com. Counter-frame to Staffbase + LumApps + Simpplr ad creative (all framing shadow AI as a governance problem). Cerkl's wedge: it is a content problem. W1 of the 3-week wedge sprint (2026-06-17 → 2026-07-08). Replaces the previously planned webinar diagnostic poll (Rachel Folz webinar delayed).
Post type: static-theme
Wraps: shadow-ai-content-problem (source signal: ../content-plan/inputs.md §2026-06-03 and ../../research/ic-trends/team-update/2026-06-03.md §1)
Copy:
[CAPTION]

Three IC platforms have moved shadow AI from blog content to ad headlines this month. The stat being cited: 79% of organizations suspect employees are misusing AI tools they did not approve.

The pitch underneath those headlines, from every one of them, is governance. A control center. An approval workflow. A way to police what employees type into the tools IT did not pick.

The IC buyer does not sit in that conversation. IT does. CISO does. Legal does. The Director of Internal Communications is on a different call, trying to figure out why the new benefits policy did not land with the frontline.

Shadow AI is a real signal. The framing misreads what it is signalling.

Employees who reach for an unsanctioned AI to draft a customer email, a Slack post, a policy explainer have escaped a content gap. The sanctioned channel did not have the tool they needed, did not have the speed they needed, or did not trust them with either. Governance was downstream of that gap.

A better default fixes the gap. The AI-assisted send IC owns. Proof it landed. A read-rate the team can defend. Shadow AI loses its escape route the moment the sanctioned channel is the faster one.

Full POV tomorrow on the Cerkl blog.

[ASSET SPEC]

Visual concept: Counter-frame card. Left side, smaller and grayed: competitor framing as a pull-quote of the verbatim Staffbase / Simpplr / LumApps line (""Your employees are already using AI tools you haven't approved"" or ""Stop shadow AI without killing productivity""). Right side, larger and on-brand. The Cerkl reframe: ""Shadow AI is a content problem dressed as a governance one.""
Asset role: counter-frame card. Origination needed; no existing manifest. Pull rendered URL during asset-process step.
Brand direction: Cerkl brand colors per design CONTEXT. Logo lockup bottom-right. No headshot. Legible at LinkedIn mobile feed size.

[HASHTAGS]

#InternalCommunications #EmployeeEngagement #AIinIC",712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Social Media,2026-06-12,2026-06-16
S013,Subtask,T004,,LinkedIn – Copy,Draft the post copy.,,Social Media,2026-06-12,2026-06-12
S014,Subtask,T004,,LinkedIn – Asset Creation,Create or source the static asset (counter-frame card; origination needed — see draft for asset spec).,,Social Media,2026-06-12,2026-06-12
S015,Subtask,T004,,LinkedIn – Approval,Review post + asset; sign off.,,Social Media,2026-06-15,2026-06-15
S016,Subtask,T004,,LinkedIn – Implementation / Publishing,Schedule in LinkedIn / Buffer / native; confirm publish.,,Social Media,2026-06-16,2026-06-16
T005,Task,,MCM-992,Content - Blog (Cerkl.com) - Shadow AI Is a Content Problem (Not a Governance Problem),"Topic: Travis-bylined editorial POV reframing shadow AI as a content problem, not a governance problem. Counter-frame to Staffbase + LumApps + Simpplr ad creative (which all pitch governance as the answer). Cerkl's wedge: the sanctioned channel is the fix, not a control panel. Tie to Foundations-free as live-in-an-afternoon proof. W1 of the 3-week wedge sprint (sprint window 2026-06-17 → 2026-07-08).
Slug: shadow-ai-content-problem
Brief link: — (no SEO brief — Travis-bylined editorial; source signal in ../content-plan/inputs.md §2026-06-03 and ../../research/ic-trends/team-update/2026-06-03.md §1)
Primary keyword: — (editorial POV, not SEO-driven)
Secondary keywords: —
Webflow CMS properties:
  - Primary Category: internal-communication-strategy
  - Primary Solution: Foundations
  - All Categories: AI in IC
Draft (Google Doc): https://docs.google.com/document/d/1fPJ6rOF5dqlpYgb0gM7EHShCd3s80Iigh_z6KgKozo4/edit",712020:77c51683-fca4-4aee-9e06-929c5b3042ea,Blog Posts,2026-06-10,2026-06-17
